level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,10.00 pagi,1000,ANNOTATION,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,,,10.00 pagi,1000,Tuan Yang di-Pertua,"*Assalamualaikum warahmatullahi wabarakatuh* dan salam
sejahtera. Kita mulakan dengan menjemput Tuan Edwin anak Banta, Selangau."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,,,10.00 pagi,1000,Tuan Edwin anak Banta [Selangau],"Terima kasih Tan Sri Yang di-Pertua. Soalan
saya ialah soalan nombor satu."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Edwin anak Banta [Selangau],"minta Menteri Pertanian dan Keterjaminan
Makanan menyatakan bagaimana kementerian memperkasakan belia dalam bidang
pertanian moden dan ke arah membangunkan usahawan muda."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Yang di-Pertua,Silakan Menteri.
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Timbalan Menteri Pertanian dan Keterjaminan Makanan [Tuan Chan Foong Hin],"Selamat pagi. Tuan Yang di-Pertua, dalam usaha memperkasakan belia dan
membangunkan usahawan muda dalam bidang pertanian moden, Kementerian Pertanian
dan Keterjaminan Makanan (KPKM) telah menjadikan agenda pemodenan dan pertanian
pintar sebagai teras dasar pertama serta pembangunan bakat yang memenuhi keperluan
industri sebagai Teras Dasar 3 di bawah Dasar Agromakanan Negara 2021-2030 (DAN2.0).
Sehubungan itu, KPKM telah mengambil langkah-langkah berikut iaitu pertama,
latihan dan infrastruktur. Program Latihan Kemahiran Pertanian Kebangsaan (PLKPK) yang
merangkumi 10 bidang iaitu tanaman, akuakultur air tawar, akuakultur marin, perikanan
tangkapan, *poultry*, ruminan, pemprosesan makanan, pengeluaran padi, pemasaran dan
penyenggaraan jentera pertanian ditawarkan kepada golongan belia yang berusia 18
sehingga 25 tahun untuk mengikuti kursus yang diberi persijilan, Sijil Kemahiran Malaysia
dan Diploma Kemahiran Malaysia di sebanyak 15 buah pusat bertauliah di Malaysia.
Antara pusat bertauliah yang telah dilengkapi teknologi pertanian pintar bagi tanaman
adalah seperti di Institut Pertanian Bumbong Lima Pulau Pinang, teknologi mekanisasi dan
automasi di Institut Latihan Mekanisasi dan Automasi Peladang (ILMAP), Kota Bharu,
Kelantan dan institut ternakan unggas di Melaka yang dilengkapi dengan teknologi ternakan
ayam secara tertutup.
Bagi sektor ternakan ruminan kaedah moden seperti permainan berasas juga
diperkenalkan kepada para pelatih. Dalam usaha memperkukuhkan lagi sekuriti makanan
negara, kementerian sentiasa menggalakkan penyertaan golongan belia melalui penggunaan
teknologi moden dan seterusnya melahirkan usahawan muda dalam sektor agromakanan.
Latihan dan bimbingan akan terus diberikan oleh jabatan atau agensi di bawah KPKM.
Yang kedua, geran dan kemudahan pembiayaan. Bagi memperkasakan belia dan
membangunkan usahawan muda dalam bidang pertanian, KPKM telah memperkenalkan
Program Agropreneur Muda. Program ini bertujuan membantu dan menggalakkan
penglibatan golongan muda dalam bidang keusahawanan agro berasaskan semua aktiviti di
sepanjang rantaian nilai sektor agromakanan.
Program ini juga menawarkan kursus latihan serta geran kepada golongan yang
berumur antara 18 tahun hingga 40 tahun, termasuk bidang pertanian moden. Bagi aspek
pertanian moden, Geran Agropreneur Muda (GAM) yang ditawarkan adalah berbentuk
barangan seperti infrastruktur, sistem dan peralatan berkaitan teknologi yang berjumlah
sehingga RM20,000. Manakala kursus dan latihan yang ditawarkan meliputi penggunaan
teknologi *Internet of Things* (IoT), pemasaran digital, pengurusan ladang dan latihan
berkaitan teknologi terkini.
Bagi usahawan muda yang ingin meningkatkan lagi penggunaan teknologi dalam
bidang yang sedang diusahakan, KPKM melalui Agrobank telah memperkenalkan Program
Modenisasi Rantaian Nilai Agromakanan (PMRNA). Program ini menawarkan kemudahan
pembiayaan sehingga RM1 juta pada kadar 3.5 peratus untuk tempoh pinjaman sehingga 10
tahun kepada usahawan di seluruh rantaian nilai agromakanan, termasuk usahawan muda
untuk perolehan teknologi berasaskan Revolusi Perindustrian Keempat (IR4.0) seperti sistem
fertigasi pintar menggunakan IoT, kilang tanaman serta dron. Sekian, terima kasih."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Yang di-Pertua,Saya jemput Selangau.
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Edwin anak Banta [Selangau],"Terima kasih YB Timbalan Menteri. Soalan
saya kedua ialah apakah cabaran dan halangan dalam menarik minat belia untuk melibatkan
diri dalam program pertanian moden ini?"
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Yang di-Pertua,Sila Menteri.
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,10.00 pagi,1000,Tuan Chan Foong Hin,"Antara cabarannya ialah macam mana kita memberikan
naratif bahawa pertanian adalah satu kerjaya yang moden, satu kerjaya yang ada masa
depan, supaya belia-belia dapat menceburi dalam bidang ini. Salah satu cabaran adalah
macam mana kita memberikan akses kepada golongan belia seperti contoh kalau di kawasan
YB, terutama juga Projek Pertanian Pintar yang kita laksanakan di Daerah Igan, Matu kira-
kira dua jam perjalanan dari Daerah Selangau.
*So*, projek fertigasi berkelompok di Daerah Igan, Matu ini merangkumi lapan unit
struktur pelindung hujan (SPH) dan melibatkan 24 orang peserta. Projek yang bernilai
RM480,000 ini di bawah peruntukan pembangunan negeri ini telah siap sepenuhnya pada
tahun 2022. *So*, salah satu cabaran macam mana kita memperluaskan projek ini kepada
daerah-daerah yang memerlukan. Projek sedemikian boleh dijadikan sebagai contoh bagi
membangunkan sektor pertanian di Daerah Selangau menggunakan teknologi moden, sekali
gus meningkatkan pendapatan isi rumah penduduk sekitar Daerah Selangau."
