level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,10.00 pagi,1000,,[Tuan Yang di-Pertua **mempengerusikan Mesyuarat**]
MENGANGKAT SUMPAH,,,10.00 pagi,1000,,"Ahli Yang Berhormat yang tersebut di bawah ini telah mengangkat sumpah:
(i) Yang Berhormat Tuan Syed Husin Ali"
PEMASYHURAN TUAN YANG DI-PERTUA,MENGALU-ALUKAN AHLI BARU,,10.00 pagi,1000,Tuan Yang di-Pertua,"Ahli-ahli Yang Berhormat, saya mengucapkan tahniah dan
mengalu-alukan pelantikan Yang Berhormat Tuan Syed Husin Ali sebagai Ahli Dewan
Negara yang baru. Seperti mana dilafazkan dalam sumpah Yang Berhormat sebentar tadi
sebaik sumbangan yang boleh Yang Berhormat berikan kepada negara bermula dari Yang
Berhormat berazam untuk memahami, menghayati, mendukung dan mempertahankan
Perlembagaan. Ini adalah sewajarnya kerana ianya merupakan titik tolak rule of law bagi
negara, masyarakat dan rakyat jelata. Hanya melalui dukungan bersama terhadap
kedaulatan undang-undang dan keluhuran Perlembagaan, maka sistem Demokrasi
Berparlimen negara akan dapat menjamin keutuhan, kejayaan dan kecemerlangan
Malaysia. Saya berharap semoga Yang Berhormat berjaya mendukung tugas tersebut
sebagai Ahli Dewan Negara yang mulia ini.
Ahli-ahli Yang Berhormat, kini selesailah Majlis Mengangkat Sumpah pada hari ini."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,10.00 pagi,1000,,"Keluarga dan Masyarakat menyatakan, apakah usaha yang telah dan yang akan
dilaksanakan oleh pihak Kementerian untuk memantap dan memartabatkan lagi institusi
kekeluargaan di negara kita, memandangkan keluarga secara sinonimnya adalah sebuah
institusi sosial yang paling asas dan ia menjadi penentu jenis warga masyarakat yang akan
dibentuk."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,10.00 pagi,1000,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Datin Paduka Chew Mei Fun]","Tuan Yang di-Pertua, keluarga adalah sebuah unit asas sosial
yang membekalkan sumber manusia untuk pembangunan serta menjamin kesinambungan
insan sebagai generasi akan datang.
Sehubungan itu Kementerian Pembangunan Wanita, Keluarga dan Masyarakat
meletakkan isu institusi keluarga sebagai satu matlamat dalam visi dan misi kementerian.
Dalam usaha memartabatkan institusi keluarga di negara ini kementerian melalui Lembaga
Penduduk dan Pembangunan Keluarga Negara menjalankan beberapa program, aktiviti-
aktiviti promosi, pendidikan dan latihan, penyelidikan dan pembangunan dalam bidang
pembangunan keluarga terutamanya dalam aspek ilmu keibubapaan bagi membantu dan
mendidik ahli-ahli keluarga seterusnya menjadikan keluarga sebagai satu unit yang resilient
dalam menghadapi cabaran semasa.
Antara usaha yang telah dijalankan ialah dengan mengadakan latihan di peringkat
akar umbi melalui Pakej Modul Kasih iaitu satu modul pendidikan dan kemahiran
keibubapaan. Pakej latihan ini merangkumi lima modul ialah Modul Pancaran Kasih,
Belaian Kasih, Mutiara Kasih, Permata Kasih dan Bahtera Kasih. Kursus pembangunan
keluarga selama sehari yang dikenali sebagai Ilmu Keluarga @ LPPKN bagi meningkatkan
ilmu kekeluargaan dalam kalangan masyarakat umum diteruskan sebagai satu program
pendidikan bersiri secara bulanan. Untuk tahun ini, 836 program telah dilaksanakan yang
telah melibatkan 90,119 peserta."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,■1010,1010,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Datin Paduka Chew Mei Fun]","Kementerian juga bekerjasama dengan Pertubuhan Bukan Kerajaan (NGO) bagi
melaksanakan program-program pembangunan keluarga. Bagi tahun 2008 sahaja,
sebanyak 76 NGO telah melaksanakan program-program berkaitan keibubapaan,
pembangunan remaja, pemantapan perkahwinan, kekeluargaan dan kesihatan reproduktif
keluarga melalui kerjasama pintar ini.
Untuk pasangan yang baru dan akan berkahwin pula, kursus pra-perkahwinan
Smart Start diberi kepada peserta agar pendidikan keibubapaan dapat diterapkan di
peringkat awal lagi. Dengan itu mereka lebih bersedia untuk melangkah ke alam rumah
tangga dan keibubapaan. Promosi media mengenai kursus ini serta penyebaran risalah
kepada masyarakat akan terus dipertingkatkan sebagai promosi meluas kepada
masyarakat di seluruh negara.
Menerusi perkongsian pintar dengan NGO, sebanyak 81 buah program telah
dilaksanakan sepanjang tahun 2008. Pada tahun 2009, telah pun kita meluluskan 81 buah
program Smart Start dan telah dilaksanakan dan dapat laporan dari penganjur adalah 44
buah program. Menyedari kepentingan kerjaya dalam kehidupan yang semakin mencabar
dan sebagai usaha membantu keluarga dwi kerjaya mengimbangi tanggungjawab kerjaya
dan keluarga, kementerian telah mengambil inisiatif melaksanakan program pendidikan
keibubapaan di tempat kerja yang dinamakan program Keluarga @ Kerja
(Parenting@Work).
Bilangan program telah meningkat kepada 130 program pada tahun 2008
berbanding dengan 35 program pada tahun ia diperkenalkan. Program ini juga telah
diperluaskan ke sektor swasta di mana Syarikat Takaful Malaysia Berhad telah menjadi
syarikat swasta pertama yang menganjurkan program ini untuk anggota kerja mereka.
Sebagai langkah pencegahan, beberapa program untuk mengelak gejala sosial di
kalangan remaja dari berleluasa telah turut diambil perhatian. Sebagai sokongan kepada
usaha-usaha menangani gejala sosial remaja, LPPKN telah menubuhkan tiga buah pusat
remaja iaitu dua di Kuala Lumpur dan satu di Butterworth. Melalui Cafe@Teen ini, remaja
boleh mendapat pengetahuan, perkhidmatan dan membangunkan kemahiran diri di
samping mengisi masa lapang dengan lebih berfaedah.
Selain daripada itu, perkhidmatan kaunseling kekeluargaan turut disediakan
melalui agensi-agensi di bawah kementerian iaitu Jabatan Kebajikan Masyarakat, Jabatan
Pembangunan Wanita dan LPPKN kepada individu, pasangan, keluarga dan kelompok
yang menghadapi masalah. Khidmat kaunseling ini dijalankan secara bersemuka atau
melalui telefon secara percuma tanpa mengira keturunan, kaum, bangsa, kepercayaan dan
jantina di seluruh negara. Sekian, terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,■1010,1010,Dato’ Musa bin Haji Sheikh Fadzir,"Terima kasih Tuan Yang di-Pertua dan
terima kasih Yang Berhormat Timbalan Menteri yang telah menjawab pertanyaan saya tadi.
Soalan tambahan saya, nampaknya kementerian telah melaksanakan program dan aktiviti
kekeluargaan kepada masyarakat. Selain itu, apakah rancangan kementerian untuk
menyelaras dan memperkembangkan dengan lebih menyeluruh secara terancang sama
ada dalam bentuk polisi atau pelan tindakan. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,■1010,1010,Datin Paduka Chew Mei Fun,"Terima kasih Yang Berhormat. Untuk makluman
Yang Berhormat, untuk meningkatkan lagi prestasi untuk kita memastikan keharmonian
keluarga, kementerian melalui LPPKN telah pun dan sedang menyediakan satu Dasar
Keluarga Negara, pertama kali.
Dasar Keluarga Negara ini adalah satu dasar untuk mengarusperdanakan
kesejahteraan keluarga dalam segala usaha pembangunan negara agar dapat melahirkan
generasi berkualiti.
Di samping itu, kita juga sedang menyediakan satu pelan tindakan pembangunan
keluarga negara supaya kita ada tindakan-tindakan yang teratur dan kita akan melibatkan
agensi-agensi yang lain dan juga sektor-sektor yang lain supaya kita dapat melaksanakan
program kekeluargaan ini dengan lebih sempurna. Dasar Keluarga Negara ini dijangka
akan dibentangkan kepada kelulusan Yang Berhormat Menteri dan juga selepas itu akan
dibentangkan kepada Jemaah Menteri. Sekian, terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,■1010,1010,Dato’ Hajah Saripah Aminah binti Haji Syed Mohamed,"Terima kasih Tuan
Yang di-Pertua. Apakah usaha kementerian untuk memastikan penglibatan atau kehadiran
kaum bapa ke setiap program kekeluargaan seperti kursus keibubapaan dan sebagainya.
Memandangkan tahap kesedaran atau penglibatan lelaki dalam proses keibubapaan di
negara ini masih lagi rendah, dalam erti kata lain mentaliti untuk mendidik anak-anak dan
urusan rumah tangga adalah hanya tugas isteri sahaja. Daripada 76 NGO yang telah
menjalankan kursus-kursus keibubapaan, adakah pihak kementerian ada statistik
menunjukkan berapa ramaikah kalangan kehadirannya daripada kaum bapa. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,"1. Dato’ Musa bin Haji Sheikh Fadzir minta Menteri Pembangunan Wanita,",,■1010,1010,Datin Paduka Chew Mei Fun,"Terima kasih Yang Berhormat. Untuk menjawab
soalan Yang Berhormat, untuk memastikan kaum bapa menyertai program yang
dilaksanakan oleh kementerian, kita telah pun mengadakan satu program iaitu
Keluarga@Kerja (Parenting@Work) dengan izin, di mana kita bawa program satu hari ini ke
tempat kerja sektor awam supaya diwajibkan semua target atau semua ibu bapa yang
bekerja di sektor awam itu menghadiri program itu. Ini adalah satu kaedah yang kita telah
ambil.
Untuk makluman Ahli Yang Berhormat, bukan sahaja program ini telah
dilaksanakan di sektor awam. Seperti apa yang tadi saya beritahu, syarikat-syarikat swasta
juga mereka sekarang telah mula untuk bekerjasama dengan kita kerana kita semua
memahami kalau pekerja-pekerja kita ada keluarga yang harmoni, prestasi pekerjaan
mereka akan dapat ditingkatkan lagi.
Mengenai statistik itu, saya tidak ada angka pada hari ini. Saya mohon beri
jawapan secara bertulis. Sekian, terima kasih.
**2. Tuan Khoo Soo Seang** minta Menteri Pertanian dan Industri Asas Tani
menyatakan, apakah usaha kerajaan untuk menggalakkan generasi muda berkecimpung
dalam kerjaya pertanian dan industri asas tani."
