level_1,level_2,level_3,timestamp,author,speech
,,,1000,ANNOTATION,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,,,1000,Tuan Yang di-Pertua,"*Assalamualaikum warahmatullahi wabarakatuh,* selamat pagi.
Sukacita dijemput Yang Berhormat Dato’ Haji Jefridin bin Haji Atan."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,,,1000,Dato’ Haji Jefridin bin Haji Atan,"*Assalamualaikum warahmatullahi wabarakatuh,*
terima kasih Tuan Yang di-Pertua.
*Burung helang, burung hantu;
Soalan saya nombor satu.*"
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Dato’ Haji Jefridin bin Haji Atan,"minta Menteri Dalam Negeri menyatakan, apa
tindakan yang diambil dalam mengatasi isu pelancong asing- *backpackers* yang
menyalahgunakan Pas Pelancong dengan mengemis bagi menagih simpati untuk
menampung perbelanjaan percutian mereka, dan nyatakan statistik golongan ini yang telah
ditahan dan telah diambil tindakan."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Timbalan Menteri Dalam Negeri [Datuk Seri Dr. Shamsul Anuar bin Nasarah],"Terima kasih Tuan Yang di-Pertua, terima kasih Yang Berhormat. Untuk makluman Ahli Yang
Berhormat..."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Tuan Yang di-Pertua,"Cuma burung helang jadi hantu itu yang payah sedikit itu, kan.
Silakan."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Datuk Seri Dr. Shamsul Anuar bin Nasarah,
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,ANNOTATION,[Ketawa]
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Datuk Seri Dr. Shamsul Anuar bin Nasarah,"Usaha untuk membanteras
masalah pendatang asing tanpa izin (PATI) merupakan satu usaha berterusan daripada pihak
kerajaan. Dalam hal ini kementerian telah mengambil beberapa langkah dan inisiatif bagi
membendung kebanjiran pendatang tanpa izin (PATI) dalam negara kita.
Kerajaan dalam usaha untuk memantapkan pengurusan warga asing dalam negara
melalui langkah-langkah sebagaimana berikut. Pertama, melaksanakan operasi
penguatkuasaan dari semasa ke semasa secara berterusan untuk mengesan, menangkap,
mendakwa dan mengusir warga negara asing yang melanggar peraturan undang-undang
negara seperti di bawah Akta Imigresen 1959/63, Akta Pasport 1966 dan Peraturan-peraturan
Imigresen 1963.
Kedua, membuat naziran ke premis-premis yang terdapat warga negara asing seperti
premis majikan yang menggaji pekerja asing, institusi yang mengambil pelajar antarabangsa,
kawasan pasar, pasar borong serta kawasan-kawasan kediaman rakyat tempatan.
Selain daripada itu, kita memperketat kawalan dan pemeriksaan di semua pintu masuk
ke negara ini dan pelawat-pelawat asing ke negara ini diwajibkan mempunyai tiket pulang ke
negara asal mereka *return ticket,* di samping semakan dibuat agar mempunyai sumber
kewangan mencukupi untuk menyara sepanjang berada di negara ini.
Jabatan Imigresen juga turut menjalankan operasi secara bersepadu dengan
kerjasama agensi penguatkuasaan lain terutama Polis Diraja Malaysia, dalam menjalankan
operasi penguatkuasaan secara berterusan di lokasi-lokasi yang dikenal pasti menjadi
tumpuan warganegara asing. Jabatan Imigresen Malaysia turut melibatkan pihak berkuasa
tempatan dalam menyalurkan maklumat keberadaan pendatang tanpa izin (PATI) dalam
menangani masalah pendatang tanpa izin (PATI).
Setakat ini untuk makluman, Jabatan Imigresen Malaysia hanya menemui satu kes
sahaja di Kuala Lumpur yang melibatkan dua orang warganegara Rusia. Mereka telah diberi
amaran keras dan diminta berhubung dengan kedutaan masing-masing untuk mendapatkan
bantuan. Terima kasih."
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,1.,,1000,Dato’ Haji Jefridin bin Haji Atan,"Terima kasih Tuan Yang di-Pertua. Terima kasih
juga kepada Yang Berhormat Timbalan Menteri atas jawapan yang dikemukakan tadi. Soalan
pokok saya lebih kepada *backpackers* iaitu yang telah mempunyai visa pelancong dan
sebagainya tetapi menimbulkan masalah kepada negara kita.
Soalan tambahan saya, adakah kerajaan berusaha untuk memperketat sedikit syarat-
syarat untuk membenarkan mereka masuk seperti penyata kewangan, hotel dan sebagainya?
Terima kasih."
